ARREST_KEY,ARREST_DATE,PD_CD,PD_DESC,KY_CD,OFNS_DESC,LAW_CODE,LAW_CAT_CD,ARREST_BORO,ARREST_PRECINCT,JURISDICTION_CODE,AGE_GROUP,PERP_SEX,PERP_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude
184625523,06/30/2018 12:00:00 AM,155,RAPE 2,104,RAPE,PL 1303001,F,B ,52,0,25-44,M,BLACK HISPANIC,1017542,255919,40.869058532,-73.879630148
184583155,06/29/2018 12:00:00 AM,153,RAPE 3,104,RAPE,PL 1302501,F,Q ,102,0,18-24,M,ASIAN / PACIFIC ISLANDER,1030954,193887,40.698736773,-73.831568765
184369764,06/23/2018 12:00:00 AM,157,RAPE 1,104,RAPE,PL 1303501,F,M ,30,0,45-64,M,WHITE HISPANIC,999794,241252,40.828851045,-73.943834191
184567299,06/28/2018 12:00:00 AM,153,RAPE 3,104,RAPE,PL 1302503,F,K ,77,0,25-44,M,WHITE HISPANIC,1003606,185050,40.674583308,-73.930221541
184533008,06/28/2018 12:00:00 AM,153,RAPE 3,104,RAPE,PL 1302503,F,M ,34,0,25-44,M,WHITE HISPANIC,1002106,249501,40.851487774,-73.935457967
184488671,06/27/2018 12:00:00 AM,153,RAPE 3,104,RAPE,PL 1302501,F,Q ,112,0,45-64,M,WHITE,1025420,202485,40.722363687,-73.851473894
184522327,06/27/2018 12:00:00 AM,153,RAPE 3,104,RAPE,PL 1302503,F,S ,122,0,25-44,M,BLACK,954943,148360,40.573849649,-74.105496156
184516407,06/27/2018 12:00:00 AM,157,RAPE 1,104,RAPE,PL 1303501,F,B ,47,0,25-44,M,BLACK HISPANIC,1026387,262634,40.887451313,-73.847607787
184508493,06/27/2018 12:00:00 AM,157,RAPE 1,104,RAPE,PL 1303501,F,B ,41,0,18-24,M,BLACK,1013232,236725,40.816391847,-73.895296414
184497137,06/27/2018 12:00:00 AM,153,RAPE 3,104,RAPE,PL 1302502,F,B ,41,0,25-44,M,WHITE HISPANIC,1013232,236725,40.816391847,-73.895296414
184457877,06/26/2018 12:00:00 AM,153,RAPE 3,104,RAPE,PL 1302503,F,B ,45,0,25-44,M,WHITE,1032047,242037,40.830889993,-73.82728462
184450022,06/26/2018 12:00:00 AM,153,RAPE 3,104,RAPE,PL 1302501,F,K ,77,0,25-44,M,WHITE HISPANIC,1003606,185050,40.674583308,-73.930221541
184440032,06/26/2018 12:00:00 AM,153,RAPE 3,104,RAPE,PL 1302501,F,Q ,112,0,25-44,M,BLACK HISPANIC,1025420,202485,40.722363687,-73.851473894
184391855,06/24/2018 12:00:00 AM,157,RAPE 1,104,RAPE,PL 1303501,F,K ,76,0,18-24,M,WHITE HISPANIC,984160,188429,40.683879057,-74.000325948
184380868,06/24/2018 12:00:00 AM,153,RAPE 3,104,RAPE,PL 1302501,F,Q ,108,0,45-64,M,WHITE,996793,210001,40.743080168,-73.954736461
184363208,06/23/2018 12:00:00 AM,157,RAPE 1,104,RAPE,PL 1303501,F,K ,77,0,25-44,M,BLACK,1003606,185050,40.674583308,-73.930221541
184246864,06/22/2018 12:00:00 AM,157,RAPE 1,104,RAPE,PL 1303503,F,K ,84,0,45-64,M,WHITE HISPANIC,989013,192652,40.695468941,-73.982825079
184325216,06/22/2018 12:00:00 AM,155,RAPE 2,104,RAPE,PL 1303001,F,K ,77,0,25-44,M,BLACK,1003606,185050,40.674583308,-73.930221541
184214067,06/21/2018 12:00:00 AM,157,RAPE 1,104,RAPE,PL 1303501,F,K ,77,0,25-44,M,WHITE HISPANIC,1003606,185050,40.674583308,-73.930221541
184218581,06/21/2018 12:00:00 AM,157,RAPE 1,104,RAPE,PL 1303501,F,K ,77,0,18-24,M,BLACK,1003606,185050,40.674583308,-73.930221541
184237302,06/21/2018 12:00:00 AM,153,RAPE 3,104,RAPE,PL 1302502,F,K ,77,0,25-44,F,BLACK,1003606,185050,40.674583308,-73.930221541
184220895,06/21/2018 12:00:00 AM,153,RAPE 3,104,RAPE,PL 1302502,F,B ,52,0,45-64,M,WHITE HISPANIC,1017542,255919,40.869058532,-73.879630148
184175816,06/20/2018 12:00:00 AM,157,RAPE 1,104,RAPE,PL 1303501,F,B ,41,0,25-44,M,WHITE HISPANIC,1013232,236725,40.816391847,-73.895296414
184121388,06/19/2018 12:00:00 AM,157,RAPE 1,104,RAPE,PL 1303501,F,K ,77,0,25-44,M,WHITE HISPANIC,1003606,185050,40.674583308,-73.930221541
184145885,06/19/2018 12:00:00 AM,157,RAPE 1,104,RAPE,PL 1303501,F,B ,41,0,18-24,M,BLACK,1013232,236725,40.816391847,-73.895296414
183029981,05/23/2018 12:00:00 AM,157,RAPE 1,104,RAPE,PL 1303501,F,M ,25,0,45-64,M,BLACK,1000555,230994,40.800694331,-73.941109286
184138866,06/19/2018 12:00:00 AM,157,RAPE 1,104,RAPE,PL 1303501,F,K ,77,0,25-44,M,BLACK,1003606,185050,40.674583308,-73.930221541
184145890,06/19/2018 12:00:00 AM,157,RAPE 1,104,RAPE,PL 1303501,F,K ,77,0,25-44,M,BLACK,1003606,185050,40.674583308,-73.930221541
184093624,06/18/2018 12:00:00 AM,155,RAPE 2,104,RAPE,PL 1303001,F,B ,41,0,18-24,M,BLACK HISPANIC,1013232,236725,40.816391847,-73.895296414
184012655,06/17/2018 12:00:00 AM,153,RAPE 3,104,RAPE,PL 1302503,F,M ,30,0,45-64,M,WHITE HISPANIC,999794,241252,40.828851045,-73.943834191
183943892,06/17/2018 12:00:00 AM,153,RAPE 3,104,RAPE,PL 1302501,F,K ,72,0,18-24,M,WHITE HISPANIC,983964,179071,40.658193432,-74.001032243
183946551,06/17/2018 12:00:00 AM,157,RAPE 1,104,RAPE,PL 1303501,F,K ,77,0,25-44,M,BLACK,1003606,185050,40.674583308,-73.930221541
183920031,06/16/2018 12:00:00 AM,155,RAPE 2,104,RAPE,PL 1303001,F,Q ,112,0,18-24,M,ASIAN / PACIFIC ISLANDER,1025420,202485,40.722363687,-73.851473894
183925469,06/16/2018 12:00:00 AM,153,RAPE 3,104,RAPE,PL 1302503,F,K ,77,0,18-24,M,BLACK,1003606,185050,40.674583308,-73.930221541
